X,Y,OBJECTID,Name,StrFormat,ZipCode,SitusCity,Comment,Facility Type
-122.5326877,37.99953237,1108,COUNTY OF MARIN,3501  CIVIC CENTER DR  Rm 145,94903,SANRAFAEL,main Sheriff station,Law Enforcement
-122.5909513,37.98536789,1109,TOWN OF FAIRFAX,144  BOLINAS RD,94930,FAIRFAX, ,Law Enforcement
-122.4655069,37.87419818,1110,CITY OF BELVEDERE,450  SAN RAFAEL AVE,94920,BELVEDERE, ,Law Enforcement
-122.5694565,38.10651967,1111,CITY OF NOVATO,909  MACHIN AVE,94945,NOVATO, ,Law Enforcement
-122.5115162,37.92458924,1112,CALIF HIGHWAY PATROL,53  SAN CLEMENTE DR,94925,CORTE MADERA, ,Law Enforcement
-122.5303537,37.93852274,1113,TWIN CITIES,250  DOHERTY DR,93939,LARKSPUR,main Twin-City's Office,Law Enforcement
-122.5563239,37.96271969,1114,TOWN OF ROSS,31  SIR FRANCIS DRAKE BLVD,94957,ROSS, ,Law Enforcement
-122.4665448,37.88192519,1115,TOWN OF TIBURON,1155  TIBURON BLVD,94920,TIBURON, ,Law Enforcement
-122.5222843,37.89640305,1116,CITY OF MILL VALLEY,1  HAMILTON DR,94941,MILL VALLEY, ,Law Enforcement
-122.5268899,37.92587442,1117,TWIN CITIES,342  TAMALPAIS DR,94925,CORTE MADERA,outpost in public safety bldg,Law Enforcement
-122.5318014,37.97480728,1118,CITY OF SAN RAFAEL,1400  5TH AVE,94901,SAN RAFAEL, ,Law Enforcement
-122.4867043,37.86043203,1119,CITY OF SAUSALITO,300  LOCUST ST,94965,SAUSALITO,temperary site,Law Enforcement
-122.5129382,37.87368538,1120,COUNTY OF MARIN,850  DRAKE AVE,94965,SAUSALITO,Sheriff sub-station,Law Enforcement
-122.5491082,37.95402422,1121,COLLEGE OF MARIN,835  COLLEGE AVE,94904,KENTFIELD,campus police,Law Enforcement
-122.5475126,37.95611155,1122,COUNTY OF MARIN,1004  SIR FRANCIS DRAKE BLVD,94904,KENTFILED,Sheriff sub-station,Law Enforcement
-122.808073,38.06802091,1123,COUNTY OF MARIN,101  4TH ST,94956,POINT REYES STATION,Sheriff sub-station,Law Enforcement
-122.5628721,37.97462393,1124,TOWN OF SAN ANSELMO,525  SAN ANSELMO AVE,94960,SAN ANSELMO, ,Law Enforcement
