X,Y,OBJECTID,Name,StrFormat,ZipCode,SitusCity,FacilityType
-122.4888496,37.85971319,1125,Sausalito Library,420 LITHO ST,94965,SAUSALITO,City Library
-122.4614286,37.87711767,1126,Tiburon - Belvedere ,1501 TIBURON BLVD,94920,TIBURON,City Library
-122.5628714,37.97459647,1127,San Anselmo Library,110 TUNSTEAD AVE,94960,SAN ANSELMO,City Library
-122.5326381,37.97505029,1128,San Rafael Library,1100 E ST,94901,SAN RAFAEL,City Library
-122.554613,37.90591965,1129,Mill Valley Library,375 THROCKMORTON AVE,94941,MILL VALLEY,City Library
-122.5353308,37.93434398,1130,Larkspur Library,400 MAGNOLIA  AVE,94939,LARKSPUR,City Library
-122.8533127,38.09724313,1131,Inverness Library,15 PARK AVE,94937,INVERNESS,County Library
-122.8064319,38.06952119,1132,Point Reyes Station ,11435 STATE ROUTE 1,94956,POINT REYES STATION,County Library
-122.6857411,37.9093696,1133,Bolinas Library,14 WHARF RD,94924,BOLINAS,County Library
-122.6403671,37.89836983,1134,Stinson Beach Librar,3521 STATE ROUTE 1,94970,STINSON BEACH,County Library
-122.511558,37.87310471,1135,Marin City Library,164 DONAHUE ST,94965,SAUSALITO,County Library
-122.5181385,37.92412197,1136,Corte Madera Library,707 MEADOWSWEET DR,94925,CORTE MADERA,County Library
-122.5927086,37.990204,1137,Fairfax Library,2097 SIR FRANCIS DRAKE BLVD,94930,FAIRFAX,County Library
-122.5310685,37.99861653,1138,Civic Center Library,3501 CIVIC CENTER DR,94903,SAN RAFAEL,County Library
-122.5802224,38.10721778,1139,Novato Library,1720 NOVATO BLVD,94947,NOVATO,County Library
-122.5256315,38.05720044,1140,South Novato Library,931 C ST,94949,NOVATO,County Library
-122.4978899,37.96800994,1141,Pickleweed Library,50 CANAL ST,94901,SAN RAFAEL,City Library
